name,description,datasheet,sample,analysis,included,excluded,quality_control,license,intended_uses,prohibited_uses,monitoring,feedback,training_emissions,training_time,training_hardware,adaptation,output_space,terms_of_service,monthly_active_users,user_distribution,failures,type_id,organization_id,created_date_id,link_type_id,modality_id,size_id,dependencies_id,access_id,model_type_id
VARCO-LLM,VARCO-LLM is NCSOFT’s large language model and is trained on English and Korean.,,,"Boasts the highest performance among the Korean LLMs of similar sizes that have been released to date, according to internal evaluations.",,,,custom,"Developing various NLP-based AI services such as Q&A, chatbot, summarization, information extraction",,,,unknown,unknown,unknown,,,,,,,2,107,191,1,62,38,302,0,4
UnderwriteGPT,UnderwriteGPT is the world's first generative AI underwriting tool.,,,,,,,,,,,,,,,,,,,,,0,133,117,3,-1,-1,302,1,4
Cerebras-GPT,"A Family of Open, Compute-efficient, Large Language Models. The family includes 111M, 256M, 590M, 1.3B, 2.7B, 6.7B, and 13B models. All models in the Cerebras-GPT family have been trained in accordance with Chinchilla scaling laws (20 tokens per model parameter). [[Cerebras Blog Post]](https://www.cerebras.net/blog/cerebras-gpt-a-family-of-open-compute-efficient-large-language-models)
",,,"""We evaluate our models on the PILE validation set comprising 380M tokens. We also evaluate the public checkpoints of Pythia, Eleuther (2022); OPT, Zhang et al. (2022); GPT-NeoX 20B, Black et al. (2022); and GPT-J 6B, Wang & Komatsuzaki (2021). We performed upstream (pre-training) evaluations of text prediction cross-entropy using the Pile validation and test splits. We performed downstream evaluations of text generation accuracy on standardized tasks using the Eleuther lm-evaluation-harness."" [[Evaluations]] (https://github.com/Cerebras/modelzoo/tree/main/modelzoo/transformers/pytorch/gpt3/configs/Cerebras_GPT#evaluations).
",,,"The Pile dataset has been thoroughly analyzed from various ethical standpoints such as toxicity analysis, gender bias, pejorative content, racially sensitive content etc. Only mitigations in standard Pile dataset pre-processing were employed when pre-training Cerebras-GPT. [[Risk, Bias, Ethical Considerations]](https://github.com/Cerebras/modelzoo/tree/main/modelzoo/transformers/pytorch/gpt3/configs/Cerebras_GPT#risk-bias-ethical-considerations)
",Apache 2.0,"""The primary intended use is to further research into large language models. These models can be used as a foundation model for NLP, applications, ethics, and alignment research. Our primary intended users are researchers who are working to improve LLMs and practitioners seeking reference implementations, training setups, hyperparameters, or pre-trained models. We release these models with a fully permissive Apache license for the community to use freely."" [[Uses and Limitations]](https://github.com/Cerebras/modelzoo/tree/main/modelzoo/transformers/pytorch/gpt3/configs/Cerebras_GPT#uses-and-limitations).
","Authors note the following limitations of the model: ""Cerebras-GPT models are trained on the Pile, with English language only, and are not suitable for machine translation tasks. Cerebras-GPT models have not been tuned for human-facing dialog applications like chatbots and will not respond to prompts in a similar way to models that have received instruction tuning or reinforcement learning from human feedback (RLHF) like Flan-T5 or ChatGPT."" [[Uses and Limitations]](https://github.com/Cerebras/modelzoo/tree/main/modelzoo/transformers/pytorch/gpt3/configs/Cerebras_GPT#out-of-scope-use).
",,,,,16x Cerebras CS-2 wafer scale systems,,,,,,,2,36,143,0,62,39,255,2,3
Jais,Jais is the world’s most advanced Arabic LLM as of its release.,,,Evaluated on standard English LLM benchmarks and adapted Arabic LLM benchmarks.,,,,Apache 2.0,Jais is released with the aim to stimulate research and development in the Arabic NLP community.,"Generating or endorsing hate speech, disseminating false information, engaging in illegal activities, managing sensitive data, attempting language generalization beyond Arabic and English, and making critical decisions with high stakes.",unknown,,unknown,unknown,Condor Galaxy Supercomputer,,,,,,,2,74,198,4,62,39,87,2,4
Jais Chat,"Jais Chat is an instruction-tuned version of Jais, optimized for dialog interaction.",,,Evaluated on standard English LLM benchmarks and adapted Arabic LLM benchmarks.,,,,Apache 2.0,Jais Chat is released with the aim to stimulate research and development in the Arabic NLP community.,"Generating or endorsing hate speech, disseminating false information, engaging in illegal activities, managing sensitive data, attempting language generalization beyond Arabic and English, and making critical decisions with high stakes.",unknown,,unknown,unknown,Condor Galaxy Supercomputer from Cerebras,,,,,,,2,74,198,4,62,39,87,2,4
Bittensor Language Model,Bittensor Language Model is a 3 billion parameter language model with an 8k context length trained on 627B tokens of SlimPajama.,,,Evaluated on standard LLM benchmarks in comparison to similar-sized models.,,,,Apache 2.0,,,unknown,https://huggingface.co/cerebras/btlm-3b-8k-base/discussions,unknown,unknown,unknown,,,,,,,2,36,181,0,62,125,237,2,3
SlimPajama,"As of release, SlimPajama is the largest extensively deduplicated, multi-corpora, open-source dataset for training large language models.",https://huggingface.co/datasets/cerebras/SlimPajama-627B,[],,,,,Apache 2.0,,,unknown,https://huggingface.co/datasets/cerebras/SlimPajama-627B/discussions,,,,,,,,,,1,36,171,2,37,163,227,2,4
CodeGen,CodeGen is a language model for code,,,,,,,"none (model weights), BSD-3-Clause (code)",,,,,,,Unspecified Salesforce Compute (TPU-V4s),,,,,,,2,148,50,3,13,52,302,2,4
BLIP,,,,,,,,BSD-3-Clause,,,,,,,,,,,,,,2,148,46,3,53,198,266,2,4
LAION-115M,,,[],,,,,BSD-3-Clause,,,,,,,,,,,,,,1,148,46,3,19,26,132,2,4
EinsteinGPT,EinsteinGPT is generative AI for customer relationship management (CRFM).,,,,,,,unknown,,,,,,,,,,,,,,0,148,132,3,-1,-1,34,1,4
BLIP-2,BLIP-2 is a model that employs a generic and efficient pretraining strategy that bootstraps vision-language pre-training from off-the-shelf frozen pre-trained image encoders and frozen large language models.,,,"BLIP-2 achieves state-of-the-art performance on various vision-language tasks, despite having significantly fewer trainable parameters than existing methods",,,,MIT,,,,https://huggingface.co/Salesforce/blip2-opt-2.7b/discussions,unknown,less than 9 days,unknown,,,,,,,2,148,115,4,53,71,189,2,3
Moirai,"Moirai is a cutting-edge time series foundation model, offering universal forecasting capabilities. It stands out as a versatile time series forecasting model capable of addressing diverse forecasting tasks across multiple domains, frequencies, and variables in a zero-shot manner.",,,Moirai has undergone a comprehensive evaluation in both in-distribution and out-of-distribution settings. It demonstrated its capabilities as a zero-shot forecaster and delivered competitive or superior performance compared to full-shot models.,,,The performance of Moirai was evaluated through in-distribution and out-of-distribution settings.,Apache 2.0,"Moirai can be used for time series forecasting in multiple domains. It offers robust zero-shot forecasting capabilities and eliminates the need for additional data, extensive computational resources, and expert input for achieving accurate forecasts.",unknown,unknown,https://huggingface.co/Salesforce/moirai-1.0-R-large/discussions,unknown,unknown,NVIDIA A100 40G GPUs,,,,,,,2,148,285,0,67,109,151,2,3
LOTSA,LOTSA is the largest collection of open time series datasets with 27B observations across nine domains.,https://huggingface.co/datasets/Salesforce/lotsa_data,[],,"domain observations in energy, transport, climate, cloudops, web, sales, nature, econ/finance, and healthcare",,,Apache 2.0,pre-training Large Time Series Models,,,https://huggingface.co/datasets/Salesforce/lotsa_data/discussions,,,,,,,,,,1,148,285,4,66,92,302,2,4
Neeva dataset,,,[],,,,,unknown,,,,,,,,,,,,,,1,113,-1,3,37,198,302,0,4
Neeva model,,,,,,,,unknown,,,,,,,,,,,,,,2,113,-1,3,62,198,182,0,4
NeevaAI,NeevaAI is an AI-powered search tool that combines the capabilities of LLMs with Neeva's independent in-house search stack to create a unique and transformative search experience.,,,,,,,Custom,,,,,,,,,,https://neeva.com/terms,,,,0,113,112,0,-1,-1,183,2,4
Jurassic-1 dataset,"The dataset used to train the Jurassic-1 models, based on publicly available data.",,[],,unknown,unknown,,unknown,unknown,,,,,,,,,,,,,1,2,29,4,37,105,302,0,4
Jurassic-1 Instruct dataset,The dataset used to instruction-tune the Jurassic-1 Instruct models.,,[],unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,,,,,,1,2,103,3,37,198,302,0,4
Jurassic-1,"Jurassic-1 is a family of autoregressive language models (Large, Grande, Jumbo).",,,"Evaluated on several standard benchmarks (e.g. ARC, BoolQ, HellaSwag, RTE, Winogrande)",,,,unknown,unknown,"Illegal activities, such as hate speech, gambling, child pornography or violating intellectual property rights; Harassment, victimization, intimidation, fraud or spam; Creation or dissemination of misinformation, promotion of self-harm, glorification of violent events or incitement of violence.",,,unknown,Several months,Over 800 A100 GPUs,,,,,,,2,2,29,4,37,56,123,1,4
Jurassic-1 Instruct,Jurassic-1 Instruct is an instruction-tuned autoregressive language model.,,,,,,unknown,unknown,"Jurassic-1 Instruct was trained specifically to handle instructions-only prompts (""zero-shot"") without examples (""few-shot""). It is the most natural way to interact with language models, and it is the best way to get a sense of the optimal output for your task without any examples.","Illegal activities, such as hate speech, gambling, child pornography or violating intellectual property rights; Harassment, victimization, intimidation, fraud or spam; Creation or dissemination of misinformation, promotion of self-harm, glorification of violent events or incitement of violence.",,,unknown,unknown,unknown,,,,,,,2,2,103,3,62,57,124,1,4
Jurassic-2,Jurassic-2 is a family of language models designed to replace Jurassic-1.,,,The model was evaluated on the HELM benchmark as discussed in https://www.ai21.com/blog/introducing-j2.,,,unknown,unknown,,"Illegal activities, such as hate speech, gambling, child pornography or violating intellectual property rights; Harassment, victimization, intimidation, fraud or spam; Creation or dissemination of misinformation, promotion of self-harm, glorification of violent events or incitement of violence.",unknown,,unknown,unknown,unknown,,,,,,,2,2,134,3,62,198,302,1,4
AI21 Playground,The AI21 Labs Playground supports several task-specific APIs in addition to a variety of models.,,,,,,unknown,,"The intended uses are text completion, rewriting, and summarization.","Illegal activities, such as hate speech, gambling, child pornography or violating intellectual property rights; Harassment, victimization, intimidation, fraud or spam; Creation or dissemination of misinformation, promotion of self-harm, glorification of violent events or incitement of violence.",unknown,Feedback can be given by emailing at info at ai21.com,,,,The Playground provides direct access to the language models (Complete API) as well as wrapped for Rewrite and Summarize.,text,https://www.ai21.com/terms-of-use,unknown,unknown,unknown,0,2,29,3,-1,-1,125,1,4
AI21 Paraphrase API,AI21 Studio's Paraphrase API offers access to our world-class paraphrasing engine. It has been specifically developed for suggesting alternative ways to convey the same message using different words.,,,,,,unknown,,The intended uses are text paraphrasing.,"Illegal activities, such as hate speech, gambling, child pornography or violating intellectual property rights; Harassment, victimization, intimidation, fraud or spam; Creation or dissemination of misinformation, promotion of self-harm, glorification of violent events or incitement of violence.",unknown,Feedback can be given by emailing at info at ai21.com,,,,The AI21 language models are further specialized to the task of paraphrasing.,text,https://www.ai21.com/terms-of-use,unknown,unknown,unknown,0,2,134,3,-1,-1,127,1,4
AI21 Summarization API,AI21 Studio's Summarize API offers access to our world-class summarization engine. It has been specifically developed for reading long texts and providing a faithful summary of the original document.,,,,,,unknown,,The intended uses are text paraphrasing.,"Illegal activities, such as hate speech, gambling, child pornography or violating intellectual property rights; Harassment, victimization, intimidation, fraud or spam; Creation or dissemination of misinformation, promotion of self-harm, glorification of violent events or incitement of violence.",unknown,Feedback can be given by emailing at info at ai21.com,,,,The AI21 language models are further specialized to the task of summarization.,text,https://www.ai21.com/terms-of-use,unknown,unknown,unknown,0,2,134,3,-1,-1,127,1,4
Wordtune,"Wordtune, the first AI-based writing companion that understands context and meaning.",,,,,,unknown,Wordtune License,The Wordtune assistant is a writing assistant,,unknown,,,,,unknown,text,https://www.wordtune.com/terms-of-use,unknown,unknown,unknown,0,2,11,3,-1,-1,1,1,4
Wordtune Read,"Wordtune Read is an AI reader that summarizes long documents so you can understand more, faster.",,,,,,unknown,Wordtune License,,,unknown,,,,,unknown,text,https://www.wordtune.com/terms-of-use,unknown,unknown,unknown,0,2,36,3,-1,-1,2,1,4
Jamba,"Jamba is a state-of-the-art, hybrid SSM-Transformer LLM. Jamba is the world’s first production-grade Mamba based model.",,,Jamba outperforms or matches other state-of-the-art models in its size class on a wide range of benchmarks.,,,,Apache 2.0,"intended for use as a foundation layer for fine tuning, training",,,https://huggingface.co/ai21labs/Jamba-v0.1/discussions,unknown,unknown,unknown,,,,,,,2,2,290,0,62,145,302,2,3
MPT,MPT is a series of large language models seeking to address the limitations of other open source models like LLaMA and Pythia.,,,Evaluated on a range of benchmarks and performed on par with LLaMA-7B.,,,,Apache 2.0,,,,,unknown,9.5 days,440 A100 40GB GPUs,,,,,,,2,105,156,0,62,186,225,2,4
CommonCanvas,CommonCanvas is a text-to-image model trained solely on Creative Commons licensed images.,,,"Compared to Stable Diffusion 2, a SOTA text-to-image model.",,,,Apache 2.0,,,,,unknown,6.79 days,128 A100 NVIDIA GPUs,,,,,,,2,47,222,4,53,198,50,2,4
CommonCatalog,CommonCatalog is a curated dataset of CommonCrawl images and synthetic captions.,https://github.com/mosaicml/diffusion/blob/main/assets/common-canvas.md,[],,images with derivative licenses,images with non-derivative licenses,,Apache 2.0,,,,,,,,,,,,,,1,105,222,4,29,175,279,2,4
AI Dungeon,"AI Dungeon is a single-player text adventure game that uses AI to generate content.
",,,,,,,custom,,,,,,,,,,https://play.aidungeon.io/main/termsOfService,,,,0,91,8,3,-1,-1,194,1,4
Conformer-1 dataset,The dataset used to train AssemblyAI's Conformer-1 model.,,[],,"""our team curated a dataset of 650K hours of English audio - consisting of proprietary internal datasets and various sources from the internet""
",,,unknown,,,,,,,,,,,,,,1,12,138,0,5,164,302,0,4
Conformer-1,"Conformer-1 is a state-of-the-art speech recognition model trained on 650K hours of audio data that achieves near human-level performance and robustness across a variety of data, making up to 43% fewer errors on noisy data than other ASR models.",,,"In order to evaluate the accuracy and robustness of Conformer-1, we sourced 60+ hours of human labeled audio data covering popular speech domains such as call centers, podcasts, broadcasts, and webinars. We then calculated the Word Error Rate (WER) of Conformer-1 against these datasets, and compared the results against Whisper and a number of other ASR models. To ground our results against popular open source speech recognition benchmarks, we also performed the same WER analysis against a number of academic datasets.",,,,unknown,,,,,,,,,,,,,,2,12,138,0,7,106,55,1,4
AssemblyAI,AssemblyAI uses Claude and Anthropic's model to transcribe and understand audio data at scale.,,,,,,,custom,,,,,,,,,,https://www.assemblyai.com/legal/terms-of-service,,,,0,12,43,3,-1,-1,7,1,4
Conformer-1 API,API to access the AssemblyAI's Conformer-1 model.,,,,,,,custom,Speech recognition,,,,,,,,,https://www.assemblyai.com/legal/terms-of-service,,,,0,12,138,0,-1,-1,56,2,4
Xwin-LM,"Xwin-LM is a LLM, which on release, ranked top 1 on AlpacaEval, becoming the first to surpass GPT-4 on this benchmark.",,,Evaluated on AlpacaEval benchmark against SOTA LLMs.,,,,LLaMA2,,,,https://huggingface.co/Xwin-LM/Xwin-LM-70B-V0.1/discussions,unknown,unknown,unknown,,,,,,,2,186,204,2,62,173,302,2,3
JARVIS-1,"JARVIS-1 is an open-world agent that can perceive multimodal input (visual observations and human instructions), generate sophisticated plans, and perform embodied control, all within the popular yet challenging open-world Minecraft universe.",,,"Compared with other multi-task, instruction-following agents.",,,,unknown,,,,,unknown,unknown,unknown,,,,,,,2,134,233,4,57,198,302,2,4
MAmmoTH,MAmmoTH is a series of open-source large language models (LLMs) specifically tailored for general math problem-solving.,,,"Evaluated on MATH, a competition-level dataset, and achieves a 46% accuracy, higher than accuracy produced by GPT-4's chain of thought.",,,,MIT,,,,,,,,,,,,,,2,122,202,4,62,117,166,2,4
A.X,"A.X is SK Telecom's proprietary LLM, which has been trained on the Korean language.",,,,,,,unknown,,,,,unknown,unknown,unknown,,,,,,,2,147,205,3,62,123,302,0,4
Yi,The Yi series models are large language models trained from scratch by developers at 01 AI.,,,"Evaluated on standard language benchmarks, common sense reasoning, and reading comprehension in comparison to SoTA LLMs.",,,"Model underwent supervised fine-tuning, leading to a greater diversity of responses.",custom,,,unknown,https://huggingface.co/01-ai/Yi-34B/discussions,unknown,unknown,unknown,,,,,,,2,0,228,1,62,117,302,2,3
Yi-VL,"The Yi Vision Language (Yi-VL) model is the open-source, multimodal version of the Yi Large Language Model (LLM) series, enabling content comprehension, recognition, and multi-round conversations about images.",,,"Yi-VL outperforms all existing open-source models in MMMU and CMMMU, two advanced benchmarks that include massive multi-discipline multimodal questions (based on data available up to January 2024).",,,unknown,custom,,,unknown,https://huggingface.co/01-ai/Yi-VL-34B/discussions,unknown,10 days,128 NVIDIA A800 (80G) GPUs,,,,,,,2,0,256,1,62,117,302,2,3
HowTo100M,"HowTo100M is a large-scale dataset of narrated videos with an emphasis on instructional videos where content creators teach complex tasks with an explicit intention of explaining the visual content on screen. HowTo100M features a total of 136M video clips with captions sourced from 1.2M Youtube videos (15 years of video) and 23k activities from domains such as cooking, hand crafting, personal care, gardening or fitness.",https://arxiv.org/pdf/1906.03327.pdf,[],"Authors use the dataset to learn a joint text-video embedding by leveraging more than 130M video clip-caption pairs. They then evaluate the learned embeddings on the tasks of localizing steps in instructional videos of CrossTask and textbased video retrieval on YouCook2, MSR-VTT and LSMDC datasets. They show that their learned embedding can perform better compared to models trained on existing carefully annotated but smaller video description datasets.","The dataset features 1.22 million videos from YouTube with a primary focus on videos containing ""visual tasks"", that involve some interaction with the physical world (e.g. Making peanut butter, Pruning a tree) as compared to others that are more abstract (e.g. Ending a toxic relationship, Choosing a gift). To obtain predominantly visual tasks, the authors limit them to one of 12 categories (Food and Entertaining, Home and Garden, Hobbies and Crafts, Cars & Other Vehicles, Pets and Animals, Holidays and Traditions, Personal Care and Style, Sports and Fitness, Health, Education and Communications, Arts and Entertainment, Computers and Electronics). They also restrict to the top 200 YouTube search results, as the latter ones may not be related to the query task.","Categories such as Relationships and Finance and Business, that may be more abstract, are excluded. Videos with less than 100 views are removed. Authors also ignore videos that have less than 100 words. Videos longer than 2,000 seconds are removed. As some videos may appear in several tasks, the videos are deduplicated based on YouTube IDs.",,Apache 2.0,,"No uses are explicitly prohibited by the authors. They note the following limitations of the dataset: ""We note that the distribution of identities and activities in the HowTo100M dataset may not be representative of the global human population and the diversity in society. Please be careful of unintended societal, gender, racial and other biases when training or deploying models trained on this data.""
",,,,,,,,,,,,1,192,3,4,42,35,287,2,4
Lemur,Lemur is an openly accessible language model optimized for both natural language and coding capabilities to serve as the backbone of versatile language agents.,,,Evaluated on text and code benchmarks in comparison to other models.,,,,LLaMA2,,,,https://huggingface.co/OpenLemur/lemur-70b-v1/discussions,unknown,unknown,TPUv4-512 pod,,,,,,,2,130,214,4,13,173,138,2,3
Lemur-Chat,Lemur-Chat is an openly accessible language model optimized for both natural language and coding capabilities to serve as the backbone of versatile language agents.,,,Evaluated on text and code benchmarks in comparison to other models.,,,,CC-BY-NC-4.0,,,,https://huggingface.co/OpenLemur/lemur-70b-chat-v1/discussions,unknown,unknown,unknown,,,,,,,2,130,214,4,62,173,154,2,3
ACT-1,ACT-1 (ACtion Transformer) is a large-scale transformer model designed and trained specifically for taking actions on computers (use software tools APIs and websites) in response to the user's natural language commands.,,,,,,,unknown,,,,,unknown,unknown,unknown,,,,,,,2,3,83,0,62,-1,302,0,4
Persimmon,"Persimmon is the most capable open-source, fully permissive model with fewer than 10 billion parameters, as of its release date.",,,"Evaluated in comparison to LLaMA 2 and MPT Instruct, and outperforms both on standard benchmarks.",,,,Apache 2.0,,,,,,,,,,,,,,2,3,200,0,62,191,302,2,4
Fuyu,Fuyu is a small version of the multimodal model that powers Adept's core product.,,,Evaluated on standard image understanding benchmarks.,,,,CC-BY-NC-4.0,The model is intended for research purposes only.,"The model was not trained to be factual or true representations of people or events, and therefore using the model to generate such content is out-of-scope for the abilities of this model.",,https://huggingface.co/adept/fuyu-8b/discussions,unknown,unknown,unknown,,,,,,,2,3,217,0,28,191,302,2,3
Fuyu Heavy,Fuyu Heavy is a new multimodal model designed specifically for digital agents.,,,"Evaluated on the MMLU, GSM8K, MATH, and HumanEval benchmarks. According to these benchmarks, Fuyu-Heavy is, as of release, the strongest multimodal model trained outside of Google or OpenAI.",,,,unknown,unknown,,,,unknown,unknown,unknown,,,,,,,2,3,257,0,28,198,302,0,4
CPM Bee,"CPM-Bee is a fully open-source, commercially-usable Chinese-English bilingual base model with a capacity of ten billion parameters.",,,Evaluated on English and Chinese language benchmarks.,,,,custom,You can use the raw model for many NLP tasks like text generation or fine-tune it to a downstream task.,,unknown,https://huggingface.co/openbmb/cpm-bee-10b/discussions,unknown,unknown,unknown,,,,,,,2,129,164,1,62,22,302,2,3
UltraFeedback,"UltraFeedback is a large-scale, fine-grained, diverse preference dataset, used for training powerful reward models and critic models.",https://huggingface.co/datasets/openbmb/UltraFeedback,[],Randomly chosen models trained on UltraFeedback evaluated across standard benchmarks.,,,,MIT,,,unknown,https://huggingface.co/datasets/openbmb/UltraFeedback/discussions,,,,,,,,,,1,129,205,1,37,87,302,2,4
MiniCPM,"MiniCPM is an End-Side LLM developed by ModelBest Inc. and TsinghuaNLP, with only 2.4B parameters excluding embeddings (2.7B in total).",,,Evaluated on open-sourced general benchmarks in comparison to SotA LLMs.,,,,custom,,,unknown,https://huggingface.co/openbmb/MiniCPM-V/discussions,unknown,unknown,unknown,,,,,,,2,129,261,1,62,69,302,2,3
Eurus,Eurus is a suite of large language models (LLMs) optimized for reasoning.,,,The model was comprehensively benchmarked across 12 tests covering five tasks. Eurus achieved the best overall performance among open-source models of similar sizes and even outperformed specialized models in many cases.,,,,Apache 2.0,The model can be used for reasoning tasks and is especially tailored for coding and math following specific prompts.,,unknown,https://huggingface.co/openbmb/Eurus-70b-nca/discussions,unknown,unknown,unknown,,,,,,,2,129,292,3,62,172,67,2,3
10k_prompts_ranked,"10k_prompts_ranked is a dataset of prompts with quality rankings created by 314 members of the open-source ML community using Argilla, an open-source tool to label data.",https://huggingface.co/datasets/DIBT/10k_prompts_ranked,[],,,,,unknown,Training and evaluating language models on prompt ranking tasks and as a dataset that can be filtered only to include high-quality prompts. These can serve as seed data for generating synthetic prompts and generations.,"This dataset only contains rankings for prompts, not prompt/response pairs so it is not suitable for direct use for supervised fine-tuning of language models.",,https://huggingface.co/datasets/DIBT/10k_prompts_ranked/discussions,,,,,,,,,,1,50,274,2,37,24,302,2,4
ESM-2,ESM-2 is a series of protein language models trained on protein sequences,,,,,,,MIT,,,,,,,,,,,,,,2,96,96,4,59,48,264,2,4
PMD,PMD (Public Multimodal Datasets) is a collection of image-text datasets introduced in the FLAVA work.,,[],,,YFCC100M is filtered for non-English captions and very short (< 2 word) captions.,"Beyond filtering mentioned in excluded, nothing further is done.",unknown,unknown,unknown,,,,,,,,,,,,1,96,39,3,19,174,30,0,4
FLAVA,"FLAVA is a multimodal model composed of an image encoder, text encoder, and multimodal encoder.",,,"FLAVA is benchmarked on a range of vision-only (e.g. CIFAR-10), language-only (e.g. GLUE), and multimodal (e.g. Hateful Memes) standard evaluations.",,,"FLAVA introduces a variety of new modeling techniques, specifically with an interest in improved text-image alignment through contrastive objectives.",BSD-3-Clause,"Per the [[HuggingFace repository]](https://huggingface.co/facebook/flava-full), ""The model is intended to serve as a reproducible research artifact for research communities in the light of models whose exact reproduction details are never released such as CLIP and SimVLM.""
","Per the [[HuggingFace repository]](https://huggingface.co/facebook/flava-full), ""Any deployed use case of the model - whether commercial or not"" - is currently out of scope.
",,https://huggingface.co/facebook/flava-full/discussions,unknown,unknown,unknown,,,,,,,2,96,39,3,19,107,203,2,3
The Galactica Corpus,The Galactica Corpus is a collection of scientific datasets introduced in the Galactica work.,,[],,Prompts and reasoning data is explicitly included to improve model capabilities derived from this data.,,,unknown,unknown,unknown,,,,,,,,,,,,1,96,98,4,37,20,52,0,4
Galactica,Galactica is a family of autoregressive language models.,,,,,,,CC BY-NC 4.0,,,,,unknown,unknown,Meta AI Cluster. Trained on 1024 80GB A100 GPUs (128 8xA100 80GB nodes),,,,,,,2,96,98,4,13,29,250,2,3
InCoder,InCoder is a language model trained on code with a causal masking objective,,,,,,unknown,CC BY-NC 4.0,,,,,Unknown,"24 days, according to [[the paper]](https://arxiv.org/pdf/2204.05999.pdf)","248 V100 GPUs, according to [[the paper]](https://arxiv.org/pdf/2204.05999.pdf)",,,,,,,2,97,53,3,50,169,302,2,4
OPT,OPT is a family of autoregressive language models.,,,,,,,OPT-175B License,,,,,75 tCO2e,,Meta AI cluster. Trained on 992 80GB A100 GPUs,,,,,,,2,96,61,3,62,54,230,1,0
Make-A-Video dataset,"The Make-A-Video dataset is the dataset used to train Make-A-Video, which includes both image-text and video-only datasets with specific and significant filtering.
",,[],,,"The LAION-5B dataset is filtered to 2.3B by removing NSFW images using [https://github.com/GantMan/nsfw](https://github.com/GantMan/nsfw), toxic words in text, and images with watermark probability > 0.5. The HD-VILA-100M is randomly subsampled to 10M video clips.
","The authors exclude NSFW, toxic, and likely watermarked data from LAION-5B.
",,unknown,unknown,unknown,,,,,,,,,,,1,96,89,4,22,79,133,1,4
Make-A-Video,"Make-A-Video is a model for Text-to-Video Generation without Text-Video Data.
",,,"Model performance was evaluated using automated (Frechet Video Distance; Frechet Inception Distance) and human evaluation on two datasets (UCF-101, MSR-VTT) in the zero-shot setting.
",,,,,unknown,unknown,unknown,,unknown,unknown,unknown,,,,,,,2,96,89,4,65,198,164,0,4
LLaMA,"LLaMA is a collection of foundation language models ranging from 7B to 65B parameters trained our on trillions of tokens. The LLaMA models show that it is possible to train state-of-the-art models using publicly available datasets exclusively, without resorting to proprietary and inaccessible datasets.",,,,,,,"LLaMa License (model weights), GPLv3 (code)",,,,,,,,,,,,,,2,96,127,3,62,165,51,2,4
Llama 2,Llama 2 is an updated version of LLaMA trained on a new mix of publicly available data.,,,Evaluated on standard academic benchmarks and internal Meta libraries.,,,,custom,"Llama 2 is intended for commercial and research use in English. Tuned models are intended for assistant-like chat, whereas pretrained models can be adapted for a variety of natural language generation tasks.",Use in any manner that violates applicable laws or regulations (including trade compliance laws). Use in languages other than English. Use in any other way that is prohibited by the Acceptable Use Policy and Licensing Agreement for Llama 2.,,,539 tCO2eq,,NVIDIA A100-80GB GPUs (TDP of 350-400W),,,,,,,2,96,179,3,62,173,302,2,4
OPT-IML,,,,,,,,OPT-IML 175B License,,,,,,,,,,,,,,2,96,108,3,62,54,188,2,4
